0.000000000000000000e+00,nan
1.000000000000000000e+00,1.450367906024276760e-02
2.000000000000000000e+00,3.925937387984217153e-02
3.000000000000000000e+00,8.800723009179171885e-02
4.000000000000000000e+00,1.416391994930095433e-01
5.000000000000000000e+00,2.267828371799718301e-01
6.000000000000000000e+00,3.103615210740646169e-01
7.000000000000000000e+00,4.439089756641901863e-01
8.000000000000000000e+00,5.718702737144185644e-01
9.000000000000000000e+00,7.180262619512867150e-01
1.000000000000000000e+01,8.813317332309755781e-01
1.100000000000000000e+01,1.072684494797056853e+00
1.200000000000000000e+01,1.247338216100752684e+00
1.300000000000000000e+01,1.460363325186744055e+00
1.400000000000000000e+01,1.698340167804150758e+00
1.500000000000000000e+01,1.929160199840790346e+00
1.600000000000000000e+01,2.188842285595775206e+00
1.700000000000000000e+01,2.477382275370130227e+00
1.800000000000000000e+01,2.759018295338338866e+00
1.900000000000000000e+01,3.102961565598353122e+00
2.000000000000000000e+01,3.424172988050457000e+00
2.100000000000000000e+01,3.752309861502753030e+00
2.200000000000000000e+01,4.130345117508344543e+00
2.300000000000000000e+01,4.501735089881544916e+00
2.400000000000000000e+01,4.902124077034969218e+00
2.500000000000000000e+01,5.295175570658660291e+00
2.600000000000000000e+01,5.724149015592765899e+00
2.700000000000000000e+01,6.185471607596520371e+00
2.800000000000000000e+01,6.637361290190984420e+00
2.900000000000000000e+01,7.103874117635844421e+00
3.000000000000000000e+01,7.596990341997064355e+00
3.100000000000000000e+01,8.099493960326929809e+00
3.200000000000000000e+01,8.619606780562376613e+00
3.300000000000000000e+01,9.148914934979382352e+00
3.400000000000000000e+01,9.681886723246861948e+00
3.500000000000000000e+01,1.022816641495266587e+01
3.600000000000000000e+01,1.079840347039449000e+01
3.700000000000000000e+01,1.135869708815006973e+01
3.800000000000000000e+01,1.191647456208287537e+01
3.900000000000000000e+01,1.246746319115738189e+01
4.000000000000000000e+01,1.297881112625017863e+01
4.100000000000000000e+01,1.345271303950629971e+01
4.200000000000000000e+01,1.385571897105747219e+01
4.300000000000000000e+01,1.417969508748226737e+01
4.400000000000000000e+01,1.437278426979236556e+01
4.500000000000000000e+01,1.444345477737247840e+01
4.600000000000000000e+01,1.437482230701937169e+01
4.700000000000000000e+01,1.417434624919897246e+01
4.800000000000000000e+01,1.385609173626489188e+01
4.900000000000000000e+01,1.345495958471502185e+01
5.000000000000000000e+01,1.297818899691165129e+01
5.100000000000000000e+01,1.246029844741692472e+01
5.200000000000000000e+01,1.191137915571653672e+01
5.300000000000000000e+01,1.135831833130334445e+01
5.400000000000000000e+01,1.079591510199944260e+01
5.500000000000000000e+01,1.023303469806685406e+01
5.600000000000000000e+01,9.690745668394196599e+00
5.700000000000000000e+01,9.163506318591826627e+00
5.800000000000000000e+01,8.623545050979796400e+00
5.900000000000000000e+01,8.101167969561927862e+00
6.000000000000000000e+01,7.608128273846080702e+00
6.100000000000000000e+01,7.107572136190494660e+00
6.200000000000000000e+01,6.646675110636723893e+00
6.300000000000000000e+01,6.173737166181509473e+00
6.400000000000000000e+01,5.726738799766288857e+00
6.500000000000000000e+01,5.307870260116465566e+00
6.600000000000000000e+01,4.894367727955267533e+00
6.700000000000000000e+01,4.505046073283605956e+00
6.800000000000000000e+01,4.125651270799876258e+00
6.900000000000000000e+01,3.761742388743051890e+00
7.000000000000000000e+01,3.425962275676127877e+00
7.100000000000000000e+01,3.099332524825352486e+00
7.200000000000000000e+01,2.761805203685744114e+00
7.300000000000000000e+01,2.479120756195641651e+00
7.400000000000000000e+01,2.204950606246758316e+00
7.500000000000000000e+01,1.934316216427748758e+00
7.600000000000000000e+01,1.694595219575283584e+00
7.700000000000000000e+01,1.454327287789842105e+00
7.800000000000000000e+01,1.234624846201383797e+00
7.900000000000000000e+01,1.058901438202229706e+00
8.000000000000000000e+01,8.850925365188732075e-01
8.100000000000000000e+01,7.098227285061358138e-01
8.200000000000000000e+01,5.628170676462780353e-01
8.300000000000000000e+01,4.191828439275604445e-01
8.400000000000000000e+01,3.103001422139507470e-01
8.500000000000000000e+01,2.100838994217105737e-01
8.600000000000000000e+01,1.374556436129804327e-01
8.700000000000000000e+01,6.742870388028174289e-02
8.800000000000000000e+01,2.459953928765688802e-02
8.900000000000000000e+01,-3.392878668413542502e-04
9.000000000000000000e+01,-3.203426503814918134e-16
9.100000000000000000e+01,1.450367906024277453e-02
9.200000000000000000e+01,3.925937387984163029e-02
9.300000000000000000e+01,8.800723009179045597e-02
9.400000000000000000e+01,1.416391994930095988e-01
9.500000000000000000e+01,2.267828371799711640e-01
9.600000000000000000e+01,3.103615210740619523e-01
9.700000000000000000e+01,4.439089756641879658e-01
9.800000000000000000e+01,5.718702737144162329e-01
9.900000000000000000e+01,7.180262619512882694e-01
1.000000000000000000e+02,8.813317332309752450e-01
1.010000000000000000e+02,1.072684494797057519e+00
1.020000000000000000e+02,1.247338216100747132e+00
1.030000000000000000e+02,1.460363325186739392e+00
1.040000000000000000e+02,1.698340167804149425e+00
1.050000000000000000e+02,1.929160199840790790e+00
1.060000000000000000e+02,2.188842285595772985e+00
1.070000000000000000e+02,2.477382275370126230e+00
1.080000000000000000e+02,2.759018295338333981e+00
1.090000000000000000e+02,3.102961565598346017e+00
1.100000000000000000e+02,3.424172988050454336e+00
1.110000000000000000e+02,3.752309861502754806e+00
1.120000000000000000e+02,4.130345117508340103e+00
1.130000000000000000e+02,4.501735089881537810e+00
1.140000000000000000e+02,4.902124077034965666e+00
1.150000000000000000e+02,5.295175570658654074e+00
