uiso_values,threshold_ds
0.005,0.14623115577889448
0.005714285714285714,0.1507537688442211
0.006428571428571429,0.15527638190954773
0.0071428571428571435,0.15979899497487438
0.007857142857142858,0.164321608040201
0.008571428571428572,0.1673366834170854
0.009285714285714286,0.17185929648241205
0.010000000000000002,0.17487437185929647
0.010714285714285714,0.1778894472361809
0.01142857142857143,0.18090452261306533
0.012142857142857143,0.18391959798994975
0.012857142857142859,0.18693467336683417
0.013571428571428575,0.1899497487437186
0.014285714285714287,0.19145728643216078
0.015000000000000003,0.19447236180904523
0.015714285714285715,0.19748743718592965
0.01642857142857143,0.19899497487437184
0.017142857142857144,0.20201005025125626
0.01785714285714286,0.20351758793969849
0.018571428571428572,0.2065326633165829
0.019285714285714288,0.20804020100502513
0.020000000000000004,0.20954773869346732
0.020714285714285716,0.21256281407035174
0.021428571428571432,0.21407035175879396
0.022142857142857148,0.21557788944723616
0.02285714285714286,0.21708542713567838
0.023571428571428577,0.2201005025125628
0.02428571428571429,0.22160804020100502
0.025000000000000005,0.22311557788944722
0.025714285714285717,0.22462311557788944
0.026428571428571433,0.22613065326633164
0.027142857142857146,0.22763819095477386
0.02785714285714286,0.23065326633165828
0.028571428571428577,0.2321608040201005
0.02928571428571429,0.2321608040201005
0.030000000000000006,0.23517587939698492
0.03071428571428572,0.23668341708542712
0.03142857142857143,0.23668341708542712
0.03214285714285715,0.23819095477386934
0.03285714285714286,0.23969849246231154
0.03357142857142857,0.24120603015075376
0.03428571428571429,0.24271356783919598
0.035,0.24422110552763818
0.03571428571428572,0.2457286432160804
0.03642857142857143,0.2472361809045226
0.037142857142857144,0.24874371859296482
0.03785714285714286,0.25025125628140704
0.038571428571428576,0.25175879396984924
0.03928571428571429,0.25326633165829143
0.04,0.25326633165829143
